cluster,num_annotations,num_images,num_classes
158,188,83,1
161,152,76,1
91,148,67,1
153,154,67,1
77,154,66,1
206,210,65,1
188,136,64,1
118,138,64,1
122,174,64,1
127,184,62,1
124,134,57,1
157,154,57,1
117,126,56,1
173,120,54,1
174,114,54,1
83,120,53,1
135,108,53,1
90,110,52,1
92,126,52,1
125,172,52,1
121,120,52,1
144,114,51,1
186,122,51,1
182,108,51,1
149,100,49,1
156,100,49,1
93,104,49,1
16,124,48,1
136,102,47,1
179,122,46,1
195,178,46,1
35,124,46,1
20,94,43,1
84,90,43,1
26,112,42,1
94,90,42,1
126,94,41,1
205,114,40,1
143,100,40,1
43,92,40,1
154,86,39,1
207,142,39,1
210,122,38,1
128,86,38,1
102,78,37,1
99,80,37,1
112,74,37,1
119,92,36,1
34,102,36,1
168,78,36,1
200,110,36,1
159,80,36,1
152,86,35,1
15,74,35,1
172,82,35,1
191,102,34,1
145,72,34,1
142,70,34,1
63,76,34,1
88,100,34,1
0,90,33,1
184,96,33,1
209,108,33,1
169,84,33,1
155,66,33,1
111,68,33,1
120,90,33,1
208,94,32,1
202,124,32,1
50,64,32,1
45,80,32,1
70,84,31,1
42,84,31,1
203,94,31,1
86,64,31,1
196,104,30,1
54,86,30,1
57,104,30,1
170,90,29,1
148,58,29,1
123,58,29,1
11,88,29,1
74,58,29,1
130,70,28,1
31,74,28,1
175,64,28,1
167,66,28,1
176,62,28,1
162,54,27,1
150,66,27,1
46,60,27,1
193,98,26,1
95,62,26,1
132,64,26,1
171,66,26,1
204,84,25,1
165,58,25,1
185,58,25,1
192,92,25,1
138,52,25,1
198,94,25,1
1,66,25,1
82,74,25,1
39,68,25,1
6,72,24,1
52,70,24,1
199,68,24,1
110,46,23,1
114,46,23,1
3,70,23,1
19,72,23,1
140,68,23,1
137,50,23,1
131,58,22,1
147,44,22,1
36,60,22,1
25,62,22,1
64,60,22,1
2,60,21,1
197,74,21,1
67,60,21,1
177,54,21,1
212,66,20,1
55,50,20,1
22,62,20,1
87,44,20,1
183,58,20,1
164,46,20,1
134,58,20,1
72,70,19,1
108,42,19,1
59,44,19,1
53,48,19,1
109,44,19,1
187,44,18,1
151,44,18,1
89,36,18,1
73,48,18,1
17,36,18,1
98,34,17,1
160,34,17,1
181,58,17,1
32,52,17,1
60,48,16,1
80,46,16,1
37,46,16,1
116,54,16,1
49,46,16,1
61,44,16,1
141,34,15,1
41,44,15,1
103,30,15,1
75,32,15,1
21,38,15,1
104,30,15,1
7,46,14,1
10,36,14,1
18,40,14,1
106,34,14,1
66,48,14,1
14,42,14,1
81,38,14,1
47,30,14,1
44,36,14,1
101,34,13,1
27,36,13,1
28,32,13,1
8,38,13,1
129,34,13,1
189,26,13,1
33,30,13,1
4,28,12,1
79,28,12,1
12,36,12,1
13,30,11,1
78,22,11,1
71,32,11,1
56,28,11,1
113,22,11,1
97,28,11,1
62,28,11,1
146,22,11,1
115,22,11,1
178,24,10,1
211,32,10,1
76,26,10,1
180,20,10,1
96,22,9,1
133,24,9,1
48,26,9,1
69,24,9,1
166,18,9,1
51,24,9,1
85,16,8,1
107,18,8,1
40,16,7,1
100,14,7,1
9,14,6,1
29,12,5,1
105,10,5,1
30,14,5,1
65,16,5,1
68,8,4,1
38,14,4,1
58,8,4,1
201,10,4,1
194,8,4,1
163,10,4,1
23,8,3,1
190,6,3,1
5,4,2,1
24,6,2,1
139,2,1,1
