tile,num_images,mean_x,mean_y
7013_149771,83,350668.578313253,7488585.518072289
7010_149774,76,350529.2631578947,7488725.763157895
6996_149733,67,349835.25373134325,7486674.597014925
6980_149777,66,349022.0909090909,7488866.939393939
6992_149757,66,349610.2121212121,7487875.363636363
7032_149763,57,351616.1052631579,7488156.947368421
6970_149781,53,348537.8490566038,7489077.018867925
6986_149754,53,349315.24528301886,7487735.962264151
6986_149763,49,349325.8367346939,7488168.734693877
6995_149725,49,349778.5306122449,7486279.3877551025
7031_149735,49,351574.97959183675,7486792.244897959
7017_149766,49,350872.0408163265,7488326.408163265
7023_149742,48,351188.6666666667,7487142.5
7034_149742,48,351738.0416666667,7487107.166666667
6981_149772,48,349062.9583333333,7488628.0
7005_149750,48,350277.6666666667,7487507.708333333
6991_149764,48,349584.5,7488237.041666667
6990_149753,45,349524.0,7487660.533333333
6971_149781,43,348567.488372093,7489091.348837209
7012_149701,43,350616.32558139536,7485062.0
7009_149740,42,350494.28571428574,7487027.428571428
6980_149771,42,349012.61904761905,7488566.333333333
6993_149711,42,349657.3333333333,7485576.666666667
7043_149715,42,352185.61904761905,7485773.714285715
7033_149722,41,351666.8780487805,7486106.926829268
7040_149720,41,352012.1951219512,7486019.317073171
7009_149696,40,350493.5,7484826.85
6983_149772,40,349177.15,7488619.85
6981_149776,39,349062.5641025641,7488820.717948718
6987_149789,39,349389.6923076923,7489489.128205128
7027_149766,38,351359.84210526315,7488305.315789473
6986_149786,37,349309.4054054054,7489327.081081081
6973_149761,37,348654.2702702703,7488078.162162162
7033_149716,37,351665.45945945947,7485806.918918919
6998_149740,36,349934.3888888889,7487009.888888889
7012_149770,36,350628.72222222225,7488539.111111111
7036_149741,36,351821.3333333333,7487081.944444444
7017_149760,36,350890.6666666667,7488006.277777778
6987_149768,36,349361.94444444444,7488406.166666667
7014_149758,35,350737.54285714286,7487907.371428572
7010_149748,35,350504.5714285714,7487438.628571428
7034_149724,35,351704.7428571429,7486206.914285715
7050_149716,35,352507.8857142857,7485804.285714285
6966_149742,35,348306.1142857143,7487117.828571429
6994_149770,34,349719.5294117647,7488527.235294118
6975_149776,34,348774.4117647059,7488812.823529412
7027_149723,34,351380.70588235295,7486186.529411765
7037_149715,34,351893.0,7485777.764705882
7018_149765,33,350923.2121212121,7488285.393939394
7036_149745,33,351827.8181818182,7487269.575757576
7037_149719,33,351876.48484848486,7485991.393939394
7017_149772,33,350857.69696969696,7488605.515151516
7050_149717,32,352520.3125,7485887.625
7034_149715,32,351716.6875,7485780.3125
6986_149766,32,349341.9375,7488321.8125
7037_149717,31,351875.29032258067,7485881.419354838
7007_149713,31,350369.6129032258,7485663.612903226
6995_149789,31,349793.29032258067,7489491.483870967
6985_149776,30,349262.3333333333,7488819.4
6965_149726,30,348274.26666666666,7486324.266666667
7031_149719,30,351576.3333333333,7485987.266666667
7002_149718,30,350144.8,7485921.866666666
7044_149715,29,352203.1724137931,7485770.75862069
7001_149746,29,350090.4827586207,7487335.586206896
6978_149779,29,348930.275862069,7488979.724137931
6982_149758,29,349130.8275862069,7487927.448275862
6981_149780,29,349075.6551724138,7489026.068965517
7042_149715,29,352143.8620689655,7485770.827586207
