cluster,filename,format,height,max,mean,min,mode,outlier,std,width
3,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240324-231713-ic_COMco24_025.jpg,JPEG,700,211,22.356274057539682,0,RGB,False,33.423896796747904,1920
0,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240324-231746-ic_COMco24_025.jpg,JPEG,700,214,21.545141121031747,0,RGB,False,36.69627745081844,1920
3,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240324-231749-ic_COMco24_025.jpg,JPEG,700,219,21.978197172619048,0,RGB,False,38.83303154368493,1920
3,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240324-231849-ic_COMco24_025.jpg,JPEG,700,182,24.507578373015875,0,RGB,False,26.221736193789212,1920
3,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240324-232101-ic_COMco24_025.jpg,JPEG,700,215,23.572288690476192,0,RGB,False,33.18625360915423,1920
3,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240325-012707-ic_COMco24_025.jpg,JPEG,700,219,25.513359375,0,RGB,False,27.16286025589109,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240325-012854-ic_COMco24_025.jpg,JPEG,700,218,21.173441716269842,0,RGB,False,39.32656850201497,1920
3,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240325-012915-ic_COMco24_025.jpg,JPEG,700,214,23.39292584325397,0,RGB,False,34.32501815636054,1920
3,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240325-012924-ic_COMco24_025.jpg,JPEG,700,180,23.82836433531746,0,RGB,False,24.500157156084022,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240419-010844-ic_COMll24_033.jpg,JPEG,700,255,41.679905505952384,0,RGB,False,58.02424361253275,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240419-010847-ic_COMll24-033.jpg,JPEG,500,255,56.69568854166667,0,RGB,False,63.50201969465393,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240419-011601-ic_COMll24_033.jpg,JPEG,700,255,47.09302405753968,0,RGB,False,62.71057255966357,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240419-011835-ic_COMll24-033.jpg,JPEG,500,255,39.950235416666665,0,RGB,False,66.51214977679409,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240419-012105-ic_COMll24-033.jpg,JPEG,500,255,39.45257222222222,0,RGB,False,58.57898662082302,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-204649-ic_SOLjub24-080.jpg,JPEG,700,255,37.42233953373016,0,RGB,False,63.20092694941014,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-204841-ic_SOLjub24-080.jpg,JPEG,700,255,47.22113913690476,0,RGB,False,63.70500293789686,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205149-ic_SOLjub24-080.jpg,JPEG,700,255,48.410100694444445,0,RGB,False,53.415051201890414,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205154-ic_SOLjub24-080.jpg,JPEG,700,255,51.985909722222225,0,RGB,False,52.62078024664457,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205158-ic_SOLjub24-080.jpg,JPEG,700,255,50.86238368055555,0,RGB,False,54.57039114096934,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205215-ic_SOLjub24-080.jpg,JPEG,700,255,45.09251413690476,0,RGB,False,53.56610424718033,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205226-ic_SOLjub24-080.jpg,JPEG,700,255,47.58229811507937,0,RGB,False,51.54814959841191,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205312-ic_SOLjub24-080.jpg,JPEG,700,255,52.37707886904762,0,RGB,False,47.43211876873726,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205343-ic_SOLjub24-080.jpg,JPEG,700,255,55.731345982142855,0,RGB,False,46.32034917707068,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205400-ic_SOLjub24-080.jpg,JPEG,700,255,48.90339384920635,0,RGB,False,51.36324088756327,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205436-ic_SOLjub24-080.jpg,JPEG,700,255,51.040409970238095,0,RGB,False,50.814349252947984,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205503-ic_SOLjub24-080.jpg,JPEG,700,255,52.70685243055556,0,RGB,False,49.421926939058054,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205525-ic_SOLjub24-080.jpg,JPEG,700,255,54.95456398809524,0,RGB,False,49.26479580499357,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205528-ic_SOLjub24-080.jpg,JPEG,700,255,58.794058035714286,0,RGB,False,42.23542217758049,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205533-ic_SOLjub24-080.jpg,JPEG,700,255,58.45224454365079,0,RGB,False,45.35994810441736,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205602-ic_SOLjub24-080.jpg,JPEG,700,255,57.32619171626984,0,RGB,False,44.84987390165104,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205654-ic_SOLjub24-080.jpg,JPEG,700,255,53.667918898809525,0,RGB,False,49.282314057262575,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205707-ic_SOLjub24-080.jpg,JPEG,700,255,51.62884275793651,0,RGB,False,47.09320536244693,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205713-ic_SOLjub24-080.jpg,JPEG,700,255,53.660082589285715,0,RGB,False,51.66674930439939,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205727-ic_SOLjub24-080.jpg,JPEG,700,255,55.519055803571426,0,RGB,False,46.836205173465466,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205744-ic_SOLjub24-080.jpg,JPEG,700,255,54.87180406746032,0,RGB,False,49.8016612635804,1920
4,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240602-205825-ic_SOLjub24-080.jpg,JPEG,700,255,46.72622544642857,0,RGB,False,45.30530112080257,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240603-023111-ic_SOLjub24-079.jpg,JPEG,700,255,37.26436334325397,0,RGB,False,58.73141931074786,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240603-023117-ic_SOLjub24-079.jpg,JPEG,700,255,37.67448387896825,0,RGB,False,63.12842200624847,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240603-023130-ic_SOLjub24-079.jpg,JPEG,700,255,40.40678447420635,0,RGB,False,57.627628678919564,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/20240603-023234-ic_SOLjub24-079.jpg,JPEG,700,255,49.7626599702381,0,RGB,False,51.595950288069346,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/CHImxl24-114__20240624-190427-ic.jpg,JPEG,780,253,42.370564236111115,0,RGB,False,53.08250275951788,1920
1,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/CHImxl24-114__20240625-101410-ic.jpg,JPEG,780,255,126.73046852742165,0,RGB,False,98.22927465710154,1920
1,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/CHImxl24-114__20240625-101423-ic.jpg,JPEG,780,255,128.37589654558406,0,RGB,False,97.04190668100867,1920
1,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/CHImxl24-114__20240625-101438-ic.jpg,JPEG,780,255,129.98901308760685,0,RGB,False,98.04239225350013,1920
1,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/CHImxl24-114__20240625-101515-ic.jpg,JPEG,780,255,126.1714100338319,0,RGB,False,95.17300413387737,1920
1,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/CHImxl24-114__20240625-101555-ic.jpg,JPEG,780,255,135.29181290064102,0,RGB,False,101.24860564493741,1920
2,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/CMsph24_010__20240318-133739.jpg,JPEG,850,255,63.463262663398694,0,RGB,False,45.437328858543964,1920
3,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/CMsph24_010__20240318-133815.jpg,JPEG,850,255,61.29761662581699,0,RGB,False,49.328580708466404,1920
1,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/DO_AZdo24_002__20240304-073907.jpg,JPEG,840,255,129.08208581349206,0,RGB,False,45.648988965249984,1920
4,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/DO_AZdo24_002__20240304-205637.jpg,JPEG,840,255,103.93407552083333,0,RGB,False,44.974193463564916,1920
4,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/DO_AZdo24_002__20240304-205730.jpg,JPEG,840,255,102.53946283895503,0,RGB,False,43.34271349722728,1920
0,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/P-76_BGbuz23_169_00002_BGbuz23_169.jpg,JPEG,270,255,116.93853395061728,0,RGB,False,72.047860245994,720
0,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/P75_WBbuz23_091_00029_WBbuz23-091.jpg,JPEG,270,255,97.1423988340192,0,RGB,False,90.43288628869192,720
0,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/P75_WBbuz23_091_00030_WBbuz23-091.jpg,JPEG,270,255,96.26605281207134,0,RGB,False,89.7468018228925,720
0,/projetos/ghva/IA-Submarina-OnBoarding/data/raw/tubastraea/images/test/P75_WBbuz23_091_00035_WBbuz23-091.jpg,JPEG,270,255,93.12689814814814,0,RGB,False,89.23678643303815,720
